orderNumber,orderId,mopeventHeaderInId,geoX,geoY,truckId,truckPlateNo,ctlCreTs
33338554,13174358,199666904,8.9633799,54.62899267,108217,SL-AV760,08-APR-20 11.31.20.974000000 AM
33338554,13174358,199655064,9.5591267,54.063768,108217,SL-AV760,08-APR-20 08.39.19.875000000 AM
33338554,13174358,199661641,9.34753429,54.06332343,108217,SL-AV760,08-APR-20 10.14.30.422000000 AM
33338554,13174358,199656011,9.48547343,53.94014332,108217,SL-AV760,08-APR-20 08.54.19.757000000 AM
33338554,13174358,199654758,9.5758733,54.0734209,108217,SL-AV760,08-APR-20 08.34.19.647000000 AM
33338554,13174358,199656356,9.599856,53.8459227,108217,SL-AV760,08-APR-20 08.59.20.913000000 AM
33338554,13174358,199655377,9.47923501,54.0360732,108217,SL-AV760,08-APR-20 08.44.19.875000000 AM
33338554,13174358,199655678,9.4907709,53.9857879,108217,SL-AV760,08-APR-20 08.49.19.724000000 AM
33338554,13174358,199654426,9.6292928,54.0763428,108217,SL-AV760,08-APR-20 08.29.19.772000000 AM
33338554,13174358,199667655,8.95565629,54.72720177,108217,SL-AV760,08-APR-20 11.42.50.036000000 AM
33338554,13174358,199664548,9.00535673,54.38739436,108217,SL-AV760,08-APR-20 10.58.27.478000000 AM
33338554,13174358,199661049,9.49081842,53.98524756,108217,SL-AV760,08-APR-20 10.05.14.429000000 AM
33338554,13174358,199665657,9.07455889,54.51067984,108217,SL-AV760,08-APR-20 11.13.18.671000000 AM
33338554,13174358,199662907,9.04636402,54.20291399,108217,SL-AV760,08-APR-20 10.34.40.233000000 AM
33338554,13174358,199668486,8.86775232,54.76629565,108217,SL-AV760,08-APR-20 11.55.34.984000000 AM
33338554,13174358,199662153,9.2849941,54.1386352,108217,SL-AV760,08-APR-20 10.22.36.368000000 AM
33338554,13174358,199663600,8.98491295,54.28898026,108217,SL-AV760,08-APR-20 10.44.53.999000000 AM
33348075,13183797,199657719,8.9136862,53.34722,34915,HEI-GL757,08-APR-20 09.18.11.467000000 AM
33348075,13183797,199661821,8.706735051,53.12195301,34915,HEI-GL757,08-APR-20 10.17.10.801000000 AM
33348075,13183797,199669205,8.7095647,53.1249603,34915,HEI-GL757,08-APR-20 12.06.27.316000000 PM
33348130,13183852,199672048,10.0974426,52.119424,140014,H-SG388,08-APR-20 12.54.04.474000000 PM
33348130,13183852,199672207,10.03102625,52.1334094,140014,H-SG388,08-APR-20 12.57.06.072000000 PM
33348130,13183852,199672345,9.9919187,52.1556101,140014,H-SG388,08-APR-20 12.59.04.529000000 PM
33348130,13183852,199677847,9.92261306,52.25031239,140014,H-SG388,08-APR-20 01.54.56.757000000 PM
33348130,13183852,199671304,10.25505418,52.07695368,140014,H-SG388,08-APR-20 12.41.05.884000000 PM
33348130,13183852,199671318,10.1453593,52.1035585,140014,H-SG388,08-APR-20 12.41.21.147000000 PM
33348130,13183852,199672862,9.926964962,52.24410318,140014,H-SG388,08-APR-20 01.07.06.095000000 PM
33348130,13183852,199671585,10.19876056,52.10127406,140014,H-SG388,08-APR-20 12.46.05.890000000 PM
33348130,13183852,199671649,10.18313993,52.10701115,140014,H-SG388,08-APR-20 12.47.06.082000000 PM
33348130,13183852,199672165,10.05216306,52.12703339,140014,H-SG388,08-APR-20 12.56.05.943000000 PM
33348130,13183852,199672671,9.938944003,52.20228052,140014,H-SG388,08-APR-20 01.04.04.633000000 PM
33348130,13183852,199669985,10.41434192,51.92036704,140014,H-SG388,08-APR-20 12.19.04.630000000 PM
33348130,13183852,199673311,9.867119434,52.31541533,140014,H-SG388,08-APR-20 01.14.05.975000000 PM
33348130,13183852,199673421,9.86831456,52.34319163,140014,H-SG388,08-APR-20 01.16.05.910000000 PM
33348130,13183852,199678570,9.969452692,52.16416763,140014,H-SG388,08-APR-20 02.04.56.469000000 PM
33348130,13183852,199670705,10.36046146,52.01948147,140014,H-SG388,08-APR-20 12.31.05.971000000 PM
33348130,13183852,199670099,10.40914182,51.92948912,140014,H-SG388,08-APR-20 12.21.05.886000000 PM
33348130,13183852,199671016,10.33024464,52.05718361,140014,H-SG388,08-APR-20 12.36.05.870000000 PM
33348130,13183852,199669807,10.47192743,51.92715901,140014,H-SG388,08-APR-20 12.16.07.402000000 PM
33348130,13183852,199670910,10.35701918,52.04174518,140014,H-SG388,08-APR-20 12.34.04.654000000 PM
33348130,13183852,199671032,10.31335574,52.05951301,140014,H-SG388,08-APR-20 12.36.21.087000000 PM
33348130,13183852,199669541,10.49610571,51.91982392,140014,H-SG388,08-APR-20 12.12.06.065000000 PM
33348130,13183852,199671204,10.27015596,52.06419316,140014,H-SG388,08-APR-20 12.39.04.486000000 PM
33348130,13183852,199671758,10.16104338,52.10940774,140014,H-SG388,08-APR-20 12.49.04.488000000 PM
33348130,13183852,199670778,10.35411542,52.02958802,140014,H-SG388,08-APR-20 12.32.06.089000000 PM
33348130,13183852,199678181,9.96401536,52.18673567,140014,H-SG388,08-APR-20 01.59.56.474000000 PM
33348130,13183852,199672484,9.9836536,52.16933091,140014,H-SG388,08-APR-20 01.01.07.085000000 PM
33348130,13183852,199672502,9.972545082,52.1818213,140014,H-SG388,08-APR-20 01.01.21.144000000 PM
33348130,13183852,199672801,9.933239511,52.23059476,140014,H-SG388,08-APR-20 01.06.05.908000000 PM
33348130,13183852,199673002,9.914209476,52.27011124,140014,H-SG388,08-APR-20 01.09.04.477000000 PM
33348130,13183852,199673120,9.895164553,52.29217824,140014,H-SG388,08-APR-20 01.11.05.908000000 PM
33348130,13183852,199671488,10.22406988,52.09092513,140014,H-SG388,08-APR-20 12.44.04.511000000 PM
33348130,13183852,199669684,10.50729419,51.92661638,140014,H-SG388,08-APR-20 12.14.05.493000000 PM
33348130,13183852,199669857,10.45479115,51.91840457,140014,H-SG388,08-APR-20 12.17.06.304000000 PM
33348130,13183852,199671866,10.1222403,52.1156067,140014,H-SG388,08-APR-20 12.51.05.890000000 PM
33348130,13183852,199671882,10.12546141,52.11622738,140014,H-SG388,08-APR-20 12.51.21.134000000 PM
33348130,13183852,199670282,10.38998826,51.94973065,140014,H-SG388,08-APR-20 12.24.04.476000000 PM
33348130,13183852,199670401,10.37847259,51.96983879,140014,H-SG388,08-APR-20 12.26.05.890000000 PM
33348130,13183852,199670466,10.37772222,51.98115936,140014,H-SG388,08-APR-20 12.27.06.088000000 PM
33348130,13183852,199670603,10.37589606,52.00382203,140014,H-SG388,08-APR-20 12.29.04.482000000 PM
33348130,13183852,199671376,10.24308801,52.08472931,140014,H-SG388,08-APR-20 12.42.06.084000000 PM
33348130,13183852,199673492,9.8814266,52.3517423,140014,H-SG388,08-APR-20 01.17.06.100000000 PM
33348214,13183936,199655178,9.514614517,53.91796242,131168,H-SG877,08-APR-20 08.40.53.267000000 AM
33348214,13183936,199655482,9.5263574,53.9312208,131168,H-SG877,08-APR-20 08.45.53.227000000 AM
33348214,13183936,199655785,9.55515187,53.95314345,131168,H-SG877,08-APR-20 08.50.53.251000000 AM
33348214,13183936,199656112,9.585797741,54.00037415,131168,H-SG877,08-APR-20 08.55.53.794000000 AM
33348214,13183936,199656828,9.6503063,54.0823724,131168,H-SG877,08-APR-20 09.05.53.606000000 AM
33348214,13183936,199649334,9.615607697,53.9594737,131168,H-SG877,08-APR-20 07.15.35.987000000 AM
33348214,13183936,199649657,9.551077528,53.93743196,131168,H-SG877,08-APR-20 07.20.36.277000000 AM
33348214,13183936,199656460,9.62160857,54.04727232,131168,H-SG877,08-APR-20 09.00.53.271000000 AM
33348214,13183936,199657554,9.627070479,54.15646486,131168,H-SG877,08-APR-20 09.15.53.599000000 AM
33348214,13183936,199658290,9.667392005,54.25187135,131168,H-SG877,08-APR-20 09.25.54.006000000 AM
33348214,13183936,199657187,9.653660054,54.1131217,131168,H-SG877,08-APR-20 09.10.53.302000000 AM
33348214,13183936,199646598,10.01085232,54.22846374,131168,H-SG877,08-APR-20 06.30.36.118000000 AM
33348214,13183936,199647144,9.888541438,54.1846762,131168,H-SG877,08-APR-20 06.40.35.874000000 AM
33348214,13183936,199648076,9.790030763,54.0867374,131168,H-SG877,08-APR-20 06.55.35.964000000 AM
33348214,13183936,199649022,9.6517701,53.9871864,131168,H-SG877,08-APR-20 07.10.35.979000000 AM
33348214,13183936,199657908,9.651325025,54.20468129,131168,H-SG877,08-APR-20 09.20.53.620000000 AM
33348214,13183936,199646863,9.938768,54.2159277,131168,H-SG877,08-APR-20 06.35.36.014000000 AM
33348214,13183936,199650103,9.517425125,53.93138114,131168,H-SG877,08-APR-20 07.25.36.018000000 AM
33348214,13183936,199647433,9.85550979,54.16362907,131168,H-SG877,08-APR-20 06.45.35.893000000 AM
33348214,13183936,199647771,9.827420786,54.133638,131168,H-SG877,08-APR-20 06.50.36.347000000 AM
33348214,13183936,199650467,9.511846926,53.9204836,131168,H-SG877,08-APR-20 07.30.36.302000000 AM
33348214,13183936,199648711,9.705789624,54.02175597,131168,H-SG877,08-APR-20 07.05.35.955000000 AM
33348214,13183936,199658633,9.6625016,54.2825342,131168,H-SG877,08-APR-20 09.30.53.434000000 AM
33348214,13183936,199650764,9.552784868,53.87741858,131168,H-SG877,08-APR-20 07.35.36.060000000 AM
33348214,13183936,199648397,9.75945327,54.05732235,131168,H-SG877,08-APR-20 07.00.36.210000000 AM
33348330,13184052,199663068,8.972570802,54.29644948,122707,HEI-GL709,08-APR-20 10.36.54.199000000 AM
33348330,13184052,199668400,9.587106482,53.87868281,122707,HEI-GL709,08-APR-20 11.54.19.037000000 AM
33348330,13184052,199663791,9.044946858,54.19815842,122707,HEI-GL709,08-APR-20 10.47.25.692000000 AM
33348330,13184052,199664551,9.222840049,54.15835662,122707,HEI-GL709,08-APR-20 10.58.30.559000000 AM
33348330,13184052,199663048,8.9630299,54.3034904,122707,HEI-GL709,08-APR-20 10.36.37.584000000 AM
33348330,13184052,199666771,9.588699,53.8741159,122707,HEI-GL709,08-APR-20 11.29.18.998000000 AM
33348330,13184052,199668753,9.5709288,53.8895271,122707,HEI-GL709,08-APR-20 11.59.19.080000000 AM
33348330,13184052,199663688,9.046097908,54.21409015,122707,HEI-GL709,08-APR-20 10.46.05.710000000 AM
33348330,13184052,199665373,9.3800026,54.05417427,122707,HEI-GL709,08-APR-20 11.09.47.633000000 AM
33348330,13184052,199666100,9.486326216,53.94118359,122707,HEI-GL709,08-APR-20 11.19.25.921000000 AM
33348330,13184052,199666194,9.4865524,53.9360396,122707,HEI-GL709,08-APR-20 11.20.39.384000000 AM
33348342,13184064,199640923,9.384852398,53.91466462,122707,HEI-GL709,08-APR-20 04.40.56.653000000 AM
33348342,13184064,199645855,8.9630299,54.3034904,122707,HEI-GL709,08-APR-20 06.18.08.112000000 AM
33348342,13184064,199640529,9.1884656,53.9126796,122707,HEI-GL709,08-APR-20 04.30.52.535000000 AM
33348342,13184064,199643987,9.357693595,54.06069129,122707,HEI-GL709,08-APR-20 05.46.47.962000000 AM
33348342,13184064,199644526,9.247249146,54.14226696,122707,HEI-GL709,08-APR-20 05.56.13.581000000 AM
33348342,13184064,199645181,9.055663266,54.17925165,122707,HEI-GL709,08-APR-20 06.06.36.343000000 AM
33348342,13184064,199643366,9.47944542,53.92416433,122707,HEI-GL709,08-APR-20 05.35.35.322000000 AM
33348342,13184064,199641380,9.5263997,53.8893231,122707,HEI-GL709,08-APR-20 04.51.54.019000000 AM
33348346,13184068,199652271,9.4998262,53.9589923,122707,HEI-GL709,08-APR-20 07.57.36.559000000 AM
33348346,13184068,199658909,9.0183516,54.225989,122707,HEI-GL709,08-APR-20 09.34.58.682000000 AM
33348346,13184068,199652937,9.529191703,53.89046514,122707,HEI-GL709,08-APR-20 08.06.34.367000000 AM
33348346,13184068,199649501,9.017558,54.2649884,122707,HEI-GL709,08-APR-20 07.18.04.942000000 AM
33348346,13184068,199657211,9.375585118,54.05573719,122707,HEI-GL709,08-APR-20 09.11.16.564000000 AM
33348346,13184068,199656496,9.487283117,53.94626917,122707,HEI-GL709,08-APR-20 09.01.16.292000000 AM
33348346,13184068,199658119,9.20534,54.1609445,122707,HEI-GL709,08-APR-20 09.23.24.605000000 AM
33348346,13184068,199659668,8.957008299,54.31446485,122707,HEI-GL709,08-APR-20 09.45.29.462000000 AM
33348346,13184068,199650394,9.047266476,54.18776679,122707,HEI-GL709,08-APR-20 07.29.16.321000000 AM
33348346,13184068,199651618,9.36521085,54.05853329,122707,HEI-GL709,08-APR-20 07.48.00.170000000 AM
33348346,13184068,199650959,9.241249449,54.14868363,122707,HEI-GL709,08-APR-20 07.38.16.540000000 AM
33345384,13181113,199654772,9.885358789,52.35215937,107296,H-SG208,08-APR-20 08.34.31.952000000 AM
33345552,13181281,199636941,9.262095481,53.91632117,140019,HEI-GL134,08-APR-20 02.46.24.807000000 AM
33345552,13181281,199638907,9.595354369,53.84519165,140019,HEI-GL134,08-APR-20 03.46.25.219000000 AM
33345552,13181281,199640579,9.890111661,53.39546893,140019,HEI-GL134,08-APR-20 04.31.52.584000000 AM
33345552,13181281,199639414,9.782527371,53.69229813,140019,HEI-GL134,08-APR-20 04.01.27.642000000 AM
33345552,13181281,199639969,9.897237643,53.55408126,140019,HEI-GL134,08-APR-20 04.16.43.614000000 AM
33345552,13181281,199641388,9.650493,53.4046832,140019,HEI-GL134,08-APR-20 04.52.10.701000000 AM
33345552,13181281,199637254,9.438265627,53.93697339,140019,HEI-GL134,08-APR-20 02.56.24.611000000 AM
33345552,13181281,199637099,9.365065607,53.91122475,140019,HEI-GL134,08-APR-20 02.51.24.669000000 AM
33345552,13181281,199636629,9.163920435,53.89852807,140019,HEI-GL134,08-APR-20 02.36.23.125000000 AM
33345552,13181281,199636783,9.193733051,53.90807736,140019,HEI-GL134,08-APR-20 02.41.23.037000000 AM
33345552,13181281,199639084,9.686851098,53.80038379,140019,HEI-GL134,08-APR-20 03.51.25.423000000 AM
33345552,13181281,199639767,9.918414718,53.60714585,140019,HEI-GL134,08-APR-20 04.11.35.607000000 AM
33345552,13181281,199639590,9.849781737,53.63559936,140019,HEI-GL134,08-APR-20 04.06.32.617000000 AM
33345552,13181281,199640180,9.912017967,53.5042542,140019,HEI-GL134,08-APR-20 04.21.44.612000000 AM
33345552,13181281,199640381,9.9287552,53.4321532,140019,HEI-GL134,08-APR-20 04.26.49.601000000 AM
33345552,13181281,199641180,9.682408449,53.38950011,140019,HEI-GL134,08-APR-20 04.47.05.641000000 AM
33345552,13181281,199640771,9.786156487,53.37064925,140019,HEI-GL134,08-APR-20 04.36.57.618000000 AM
33345552,13181281,199640976,9.716673084,53.36040404,140019,HEI-GL134,08-APR-20 04.42.00.616000000 AM
